SystemID,SystemName,SchoolName,Total,GradePK,GradeKK,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,state_abbrev,academic_school_year
601,Appling County,0103-Appling County High School,1004,0,0,0,0,0,0,0,0,0,0,280,268,237,219,GA,2020-2021
601,Appling County,0177-Appling County Elementary School,468,0,0,0,0,185,133,150,0,0,0,0,0,0,0,GA,2020-2021
601,Appling County,0195-Appling County Middle School,823,0,0,0,0,0,0,0,275,283,265,0,0,0,0,GA,2020-2021
601,Appling County,0277-Appling County Primary School,635,141,166,153,175,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
601,Appling County,1050-Altamaha Elementary School,398,45,58,51,64,61,54,65,0,0,0,0,0,0,0,GA,2020-2021
601,Appling County,5050-Fourth District Elementary School,141,15,24,12,19,20,24,27,0,0,0,0,0,0,0,GA,2020-2021
601,Appling County,System Total,3469,201,248,216,258,266,211,242,275,283,265,280,268,237,219,GA,2020-2021
602,Atkinson County,0103-Atkinson County High School,466,0,0,0,0,0,0,0,0,0,0,138,108,100,120,GA,2020-2021
602,Atkinson County,0111-Atkinson County Middle School,368,0,0,0,0,0,0,0,116,132,120,0,0,0,0,GA,2020-2021
602,Atkinson County,0187-Willacoochee Elementary School,174,23,28,36,26,21,18,22,0,0,0,0,0,0,0,GA,2020-2021
602,Atkinson County,0190-Pearson Elementary School,640,68,116,86,92,82,99,97,0,0,0,0,0,0,0,GA,2020-2021
602,Atkinson County,System Total,1648,91,144,122,118,103,117,119,116,132,120,138,108,100,120,GA,2020-2021
603,Bacon County,0102-Bacon County Primary School,544,97,154,149,144,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
603,Bacon County,0202-Bacon County Middle School,484,0,0,0,0,0,0,0,146,190,148,0,0,0,0,GA,2020-2021
603,Bacon County,0302-Bacon County High School,613,0,0,0,0,0,0,0,0,0,0,170,158,146,139,GA,2020-2021
603,Bacon County,3050-Bacon County Elementary School,436,0,0,0,0,150,133,153,0,0,0,0,0,0,0,GA,2020-2021
603,Bacon County,System Total,2077,97,154,149,144,150,133,153,146,190,148,170,158,146,139,GA,2020-2021
604,Baker County,0105-Baker County K12 School,286,10,33,19,20,27,21,18,24,20,16,20,18,19,21,GA,2020-2021
604,Baker County,System Total,286,10,33,19,20,27,21,18,24,20,16,20,18,19,21,GA,2020-2021
605,Baldwin County,0100-Oak Hill MS,1174,0,0,0,0,0,0,0,375,399,400,0,0,0,0,GA,2020-2021
605,Baldwin County,0189-Baldwin High School,1247,0,0,0,0,0,0,0,0,0,0,401,339,285,222,GA,2020-2021
605,Baldwin County,0300-Lakeview Academy,637,0,0,0,0,220,209,208,0,0,0,0,0,0,0,GA,2020-2021
605,Baldwin County,0301-Midway Hills Primary,518,0,168,162,188,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
605,Baldwin County,0302-Lakeview Primary,924,260,217,208,239,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
605,Baldwin County,0303-Midway Hills Academy,479,0,0,0,0,162,167,150,0,0,0,0,0,0,0,GA,2020-2021
605,Baldwin County,System Total,4979,260,385,370,427,382,376,358,375,399,400,401,339,285,222,GA,2020-2021
606,Banks County,0105-Banks County Middle School,672,0,0,0,0,0,0,0,206,221,245,0,0,0,0,GA,2020-2021
606,Banks County,0107-Banks County Elementary School,582,0,0,0,0,192,191,199,0,0,0,0,0,0,0,GA,2020-2021
606,Banks County,0199-Banks County High School,858,0,0,0,0,0,0,0,0,0,0,244,229,193,192,GA,2020-2021
606,Banks County,0205-Banks County Primary School,629,14,217,213,185,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
606,Banks County,System Total,2741,14,217,213,185,192,191,199,206,221,245,244,229,193,192,GA,2020-2021
607,Barrow County,0101-Apalachee High School,1917,0,0,0,0,0,0,0,0,0,0,495,543,461,418,GA,2020-2021
607,Barrow County,0105-County Line Elementary School,547,44,73,89,90,91,84,76,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,0106-Haymon-Morris Middle School,838,0,0,0,0,0,0,0,277,312,249,0,0,0,0,GA,2020-2021
607,Barrow County,0114-Bear Creek Middle School,686,0,0,0,0,0,0,0,246,233,207,0,0,0,0,GA,2020-2021
607,Barrow County,0189-Kennedy Elementary School,894,47,152,139,157,133,132,134,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,0193-Bramlett Elementary School,653,47,108,86,95,96,115,106,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,0198-Westside Middle School,725,0,0,0,0,0,0,0,268,260,197,0,0,0,0,GA,2020-2021
607,Barrow County,0205-Bethlehem Elementary School,756,85,92,111,125,127,104,112,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,0289-Russell Middle School,951,0,0,0,0,0,0,0,346,317,288,0,0,0,0,GA,2020-2021
607,Barrow County,0298-Yargo Elementary School,875,46,138,132,147,129,146,137,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,0299-Winder Elementary School,590,42,80,88,92,117,83,88,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,0300-Barrow Arts and Sciences Academy,629,0,0,0,0,0,0,0,0,0,272,276,81,0,0,GA,2020-2021
607,Barrow County,1050-Auburn Elementary School,677,69,113,98,89,96,99,113,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,3052-Winder-Barrow High School,1911,0,0,0,0,0,0,0,0,0,0,480,538,432,461,GA,2020-2021
607,Barrow County,4050-Holsenbeck Elementary School,694,46,102,100,103,129,110,104,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,5050-Statham Elementary School,735,64,119,106,114,116,100,116,0,0,0,0,0,0,0,GA,2020-2021
607,Barrow County,System Total,14078,490,977,949,1012,1034,973,986,1137,1122,1213,1251,1162,893,879,GA,2020-2021
608,Bartow County,0101-Woodland Middle School at Euharlee,733,0,0,0,0,0,0,0,234,255,244,0,0,0,0,GA,2020-2021
608,Bartow County,0104-Clear Creek Elementary School,615,59,93,82,86,100,100,95,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0105-Adairsville High School,1026,0,0,0,0,0,0,0,0,0,0,304,234,256,232,GA,2020-2021
608,Bartow County,0106-Pine Log Elementary,403,36,56,61,81,52,52,65,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0107-Euharlee Elementary School,478,48,79,70,71,72,58,80,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0114-Cass High School,1505,0,0,0,0,0,0,0,0,0,0,410,371,375,349,GA,2020-2021
608,Bartow County,0115-Cloverleaf Elementary,651,55,101,107,92,122,89,85,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0175-White Elementary School,551,45,85,92,78,79,93,79,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0177-Adairsville Elementary School,769,71,109,129,112,115,114,119,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0186-Mission Road Elementary School,440,23,63,66,56,77,81,74,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0190-Red Top Middle School,635,0,0,0,0,0,0,0,206,233,196,0,0,0,0,GA,2020-2021
608,Bartow County,0195-Cass Middle School,946,0,0,0,0,0,0,0,302,312,332,0,0,0,0,GA,2020-2021
608,Bartow County,0196-Allatoona Elementary School,398,26,48,63,76,67,59,59,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0198-Woodland High School,1485,0,0,0,0,0,0,0,0,0,0,398,391,347,349,GA,2020-2021
608,Bartow County,0296-Kingston Elementary School,485,23,72,71,78,78,98,65,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0301-Adairsville Middle School,798,0,0,0,0,0,0,0,255,270,273,0,0,0,0,GA,2020-2021
608,Bartow County,0377-Hamilton Crossing Elementary School,536,39,94,77,76,70,84,96,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,0396-Taylorsville Elementary School,504,35,92,81,75,74,76,71,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,2052-Emerson Elementary School,381,30,77,64,53,56,45,56,0,0,0,0,0,0,0,GA,2020-2021
608,Bartow County,System Total,13339,490,969,963,934,962,949,944,997,1070,1045,1112,996,978,930,GA,2020-2021
609,Ben Hill County,0111-Ben Hill Elementary School,620,0,0,0,0,184,234,202,0,0,0,0,0,0,0,GA,2020-2021
609,Ben Hill County,0196-Ben Hill County Primary School,825,174,239,215,197,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
609,Ben Hill County,0291-Fitzgerald High School,796,0,0,0,0,0,0,0,0,0,0,240,198,179,179,GA,2020-2021
609,Ben Hill County,0296-Ben Hill County Middle School,739,0,0,0,0,0,0,0,240,246,253,0,0,0,0,GA,2020-2021
609,Ben Hill County,0392-Hurricane Transition Academy,27,0,0,0,0,0,0,0,0,0,1,8,5,9,4,GA,2020-2021
609,Ben Hill County,System Total,3007,174,239,215,197,184,234,202,240,246,254,248,203,188,183,GA,2020-2021
610,Berrien County,0101-Berrien High School,823,0,0,0,0,0,0,0,0,0,0,225,238,182,178,GA,2020-2021
610,Berrien County,0106-Berrien Academy Performance Learning Center,67,0,0,0,0,0,0,0,0,0,0,12,14,24,17,GA,2020-2021
610,Berrien County,0194-Berrien Middle School,701,0,0,0,0,0,0,0,218,230,253,0,0,0,0,GA,2020-2021
610,Berrien County,0195-Berrien Elementary School,640,0,0,0,0,211,202,227,0,0,0,0,0,0,0,GA,2020-2021
610,Berrien County,5050-Berrien Primary School,786,131,230,217,208,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
610,Berrien County,System Total,3017,131,230,217,208,211,202,227,218,230,253,237,252,206,195,GA,2020-2021
611,Bibb County,0103-Skyview Elementary School,399,41,55,62,62,61,56,62,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0104-Burdell Elementary School,467,22,72,59,75,92,74,73,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0105-Howard High School,1210,0,0,0,0,0,0,0,0,0,0,368,309,277,256,GA,2020-2021
611,Bibb County,0108-Ballard Hudson Middle School,807,0,0,0,0,0,0,0,313,256,238,0,0,0,0,GA,2020-2021
611,Bibb County,0109-Bruce Elementary School,421,30,55,62,71,66,68,69,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0186-Central High School,925,0,0,0,0,0,0,0,0,0,0,256,246,243,180,GA,2020-2021
611,Bibb County,0198-Westside High School,1030,0,0,0,0,0,0,0,0,0,0,378,251,192,209,GA,2020-2021
611,Bibb County,0203-Vineville Academy,534,43,76,81,83,85,93,73,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0204-Rutland High School,924,0,0,0,0,0,0,0,0,0,0,275,246,203,200,GA,2020-2021
611,Bibb County,0205-Howard Middle School,1103,0,0,0,0,0,0,0,367,357,379,0,0,0,0,GA,2020-2021
611,Bibb County,0286-Northeast High School,714,0,0,0,0,0,0,0,0,0,0,187,212,155,160,GA,2020-2021
611,Bibb County,0298-Miller Magnet Middle School,563,0,0,0,0,0,0,0,197,203,163,0,0,0,0,GA,2020-2021
611,Bibb County,0305-Rutland Middle School,815,0,0,0,0,0,0,0,253,278,284,0,0,0,0,GA,2020-2021
611,Bibb County,0307-Price Academy,21,0,0,0,0,0,2,3,3,4,3,2,4,0,0,GA,2020-2021
611,Bibb County,0383-Williams Elementary School,330,31,57,48,44,52,48,50,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0386-Southwest High School,790,0,0,0,0,0,0,0,0,0,0,305,203,156,126,GA,2020-2021
611,Bibb County,0405-Rosa Taylor Elementary School,591,53,98,68,90,107,87,88,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0505-Weaver Middle School,952,0,0,0,0,0,0,0,325,301,326,0,0,0,0,GA,2020-2021
611,Bibb County,0605-Heritage Elementary School,601,44,78,89,74,101,109,106,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,0705-Union Elementary School,493,29,80,94,70,73,63,84,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1050-Alexander II Magnet School,477,21,78,78,82,74,81,63,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1054-Bernd Elementary School,417,31,58,67,68,71,60,62,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1067-Porter Elementary School,367,22,44,56,71,60,50,64,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1105-Springdale Elementary School,571,69,79,89,85,76,95,78,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1205-Carter Elementary School,442,42,65,59,68,76,65,67,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1305-Lane Elementary School,467,40,60,89,57,64,83,74,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1306-Martin Luther King Jr Elementary School,581,42,94,86,85,95,97,82,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1307-Southfield Elementary School,806,62,124,134,137,111,126,112,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1309-Veterans Elementary School,733,41,98,90,118,138,124,124,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,1310-John Robert Lewis Elementary School,643,57,98,109,77,95,101,106,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,2060-Hartley Elementary School,508,36,74,79,76,83,86,74,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,3060-Heard Elementary School,526,42,83,83,76,69,82,91,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,3067-Ingram/Pye Elementary School,402,27,59,66,67,77,47,59,0,0,0,0,0,0,0,GA,2020-2021
611,Bibb County,5050-Appling Middle School,743,0,0,0,0,0,0,0,244,272,227,0,0,0,0,GA,2020-2021
611,Bibb County,System Total,21373,825,1585,1648,1636,1726,1697,1664,1702,1671,1620,1771,1471,1226,1131,GA,2020-2021
612,Bleckley County,0105-Bleckley County High School,633,0,0,0,0,0,0,0,0,0,0,159,163,168,143,GA,2020-2021
612,Bleckley County,0112-Bleckley Middle School,567,0,0,0,0,0,0,0,199,188,180,0,0,0,0,GA,2020-2021
612,Bleckley County,0115-Bleckley County Success Academy,55,0,0,0,0,0,0,0,3,12,3,5,8,8,16,GA,2020-2021
612,Bleckley County,0197-Bleckley County Elementary School,539,0,0,0,0,172,177,190,0,0,0,0,0,0,0,GA,2020-2021
612,Bleckley County,1050-Bleckley County Primary School,751,161,206,201,183,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
612,Bleckley County,System Total,2545,161,206,201,183,172,177,190,202,200,183,164,171,176,159,GA,2020-2021
613,Brantley County,0101-Waynesville Primary School,445,68,106,92,89,90,0,0,0,0,0,0,0,0,0,GA,2020-2021
613,Brantley County,0110-Atkinson Elementary School,268,0,0,0,0,0,88,81,99,0,0,0,0,0,0,GA,2020-2021
613,Brantley County,0194-Brantley County Middle School,491,0,0,0,0,0,0,0,0,243,248,0,0,0,0,GA,2020-2021
613,Brantley County,0294-Nahunta Elementary School,279,0,0,0,0,0,85,89,105,0,0,0,0,0,0,GA,2020-2021
613,Brantley County,1050-Brantley County High School,954,0,0,0,0,0,0,0,0,0,0,258,226,252,218,GA,2020-2021
613,Brantley County,2050-Hoboken Elementary School,549,56,65,80,68,54,81,78,67,0,0,0,0,0,0,GA,2020-2021
613,Brantley County,3050-Nahunta Primary School,418,79,85,74,86,94,0,0,0,0,0,0,0,0,0,GA,2020-2021
613,Brantley County,System Total,3404,203,256,246,243,238,254,248,271,243,248,258,226,252,218,GA,2020-2021
614,Brooks County,0110-Brooks County High School,522,0,0,0,0,0,0,0,0,0,0,168,135,128,91,GA,2020-2021
614,Brooks County,0193-Quitman Elementary School,600,0,78,106,112,109,99,96,0,0,0,0,0,0,0,GA,2020-2021
614,Brooks County,0197-Brooks County Middle School,483,0,0,0,0,0,0,0,153,156,174,0,0,0,0,GA,2020-2021
