SystemID,SystemName,SchoolID_SchoolName,KK_12_PercentFRL,state_abbrev,academic_school_year
601,Appling County,1050 - Altamaha Elementary School,90.37,GA,2020-2021
601,Appling County,0103 - Appling County High School,90.34,GA,2020-2021
601,Appling County,0277 - Appling County Primary School,90.28,GA,2020-2021
601,Appling County,5050 - Fourth District Elementary School,90.48,GA,2020-2021
601,Appling County,0177 - Appling County Elementary School,90.38,GA,2020-2021
601,Appling County,0195 - Appling County Middle School,90.4,GA,2020-2021
602,Atkinson County,0103 - Atkinson County High School,80.26,GA,2020-2021
602,Atkinson County,0111 - Atkinson County Middle School,85.87,GA,2020-2021
602,Atkinson County,0190 - Pearson Elementary School,86.01,GA,2020-2021
602,Atkinson County,0187 - Willacoochee Elementary School,90.73,GA,2020-2021
761,Atlanta Public Schools,3057 - Continental Colony Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1063 - Emma Hutchinson Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,4063 - M. A. Jones Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,5558 - Paul L. Dunbar Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0315 - Booker T. Washington High School,*,GA,2020-2021
761,Atlanta Public Schools,5066 - Barack and Michelle Obama Academy,*,GA,2020-2021
761,Atlanta Public Schools,0604 - Bazoline E. Usher/Collier Heights Elmentary School,*,GA,2020-2021
761,Atlanta Public Schools,0282 - Jean Childs Young Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0180 - Ralph Bunche Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0215 - Kipp WAYS Primary Charter School,94.85,GA,2020-2021
761,Atlanta Public Schools,0214 - KIPP Vision Primary Charter School,94.95,GA,2020-2021
761,Atlanta Public Schools,1413 - Carver High School,*,GA,2020-2021
761,Atlanta Public Schools,1414 - Michael R. Hollis Innovation Academy,*,GA,2020-2021
761,Atlanta Public Schools,0201 - Charles R. Drew Charter School,34.14,GA,2020-2021
761,Atlanta Public Schools,1064 - L. O. Kimberly Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1560 - Garden Hills Elementary School,45.5,GA,2020-2021
761,Atlanta Public Schools,4066 - Thomas Heathe Slater Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,4560 - Midtown High School,9.82,GA,2020-2021
761,Atlanta Public Schools,3566 - William J. Scott Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,4058 - Frederick Douglass High School,*,GA,2020-2021
761,Atlanta Public Schools,0115 - Kipp Strive Charter School,94.81,GA,2020-2021
761,Atlanta Public Schools,1664 - Morningside Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,2563 - Jackson Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,3559 - R. N. Fickett Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0403 - Hank Aaron New Beginnings Academy,*,GA,2020-2021
761,Atlanta Public Schools,0199 - Centennial Place Academy (Charter),*,GA,2020-2021
761,Atlanta Public Schools,0605 - KIPP WAYS Academy Charter School,95,GA,2020-2021
761,Atlanta Public Schools,0296 - T. J. Perkerson Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,5567 - Fred A. Toomer Elementary School,42.86,GA,2020-2021
761,Atlanta Public Schools,1208 - Wesley International Academy Charter,54.39,GA,2020-2021
761,Atlanta Public Schools,1563 - David T Howard Middle School,8.75,GA,2020-2021
761,Atlanta Public Schools,0188 - Sylvan Hills Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0101 - Parkside Elementary School,41.83,GA,2020-2021
761,Atlanta Public Schools,1053 - William M.Boyd Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1416 - Tuskegee Airman Global Academy,*,GA,2020-2021
761,Atlanta Public Schools,0122 - KIPP VISION Charter School,94.88,GA,2020-2021
761,Atlanta Public Schools,0314 - Westside Atlanta Charter School,50.6,GA,2020-2021
761,Atlanta Public Schools,1409 - D. M. Therrell High School,*,GA,2020-2021
