user,Year,Gender (Optional),Race/Ethnicity (Optional),Team,Tenure,Leadership Role?,I know what is expected of me at Lotus Academies. ,"I have the materials, equipment, and resources I need to meet expectations in my work. ","At Lotus Academies, I have the opportunity to do what I do best every day. ","In the last seven days, I have received recognition or praise at work. ",My manager or someone at Lotus Academies seems to care about me as a person. ,Someone at work encourages and supports me in my professional growth. ,"At Lotus Academies, my opinions seem to count. ",I am passionate about Lotus Academies' mission and values. ,The people at Lotus Academies are committed to doing excellent work. ,"I have established strong, trusted relationships with co-workers at Lotus Academies. ","In the last six months, someone at work has talked to me about my progress. ","In the last year, I have had opportunities at work to learn and grow. ",Lotus Academies provides an attractive career path for people who are interested in working in education reform. ,I feel confident that Lotus Academies will make good decisions about the growth and direction of the firm. ,I am satisfied working at Lotus Academies. ,I would recommend employment at Lotus Academies to others. ,I feel safe to express my views at work.,Lotus Academies values and acts on diverse opinions and ideas.,Lotus Academies creates an environment where I can do my best work.,"At Lotus Academies, all employees are treated with respect.",I feel valued by Lotus Academies.,"I understand the rationale behind key strategic, organizational decisions we make at Lotus Academies.","I think it’s valuable to examine and discuss the impact of race, gender, and other identities on our work at CGSF.","I have a basic understanding of concepts related to diversity, equity, and inclusion.",Lotus Academies leadership is equipped to participate in internal and external conversations about race and gender.,I am clear on which decisions I have the authority to make.,"When I work with others, it is clear who will make which decisions."
1,2018,Male,Asian,Mathematics/English/Foreign Languages,Less than 1 year,Non-Leader,6,6,6,7,7,7,6,7,7,4,7,7,7,6,7,7,7,7,6,7,7,,,,,,
2,2018,Male,Asian,Mathematics/English/Foreign Languages,Over 3 years,Leader,7,7,7,7,7,6,7,7,6,6,7,7,7,6,7,7,6,5,7,6,7,,,,,,
3,2018,Male,Black,Mathematics/English/Foreign Languages,Over 3 years,Leader,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,5,7,5,7,,,,,,
4,2018,Male,White,Mathematics/English/Foreign Languages,Less than 1 year,Non-Leader,7,7,7,6,7,6,6,7,7,6,6,7,6,6,7,7,7,6,7,7,7,,,,,,
5,2018,Male,White,Mathematics/English/Foreign Languages,Over 3 years,Leader,6,5,6,6,7,6,6,7,6,6,6,6,7,6,6,7,6,5,6,6,6,,,,,,
6,2018,Male,White,Support Staff/Technology,Less than 1 year,Non-Leader,6,7,6,5,7,6,5,7,7,6,7,7,6,7,7,7,6,7,6,7,7,,,,,,
7,2018,Male,White,Visual Art/Social Studies,Less than 1 year,Leader,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,6,7,,,,,,
8,2018,Male,White/Hispanic,Mathematics/English/Foreign Languages,Over 3 years,Non-Leader,7,5,5,4,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,,,,,,
9,2018,Male,,Mathematics/English/Foreign Languages,Less than 1 year,Non-Leader,6,6,6,7,7,7,6,7,7,5,4,4,6,7,7,7,7,6,7,7,7,,,,,,
10,2018,Male,,Visual Art/Social Studies,1-3 years,Non-Leader,6,7,7,6,7,6,7,7,7,7,7,6,7,6,7,7,6,6,6,7,7,,,,,,
11,2018,Female,Black,Mathematics/English/Foreign Languages,1-3 years,Non-Leader,6,5,6,7,7,7,7,7,6,6,7,6,6,6,6,4,6,4,6,3,7,,,,,,
12,2018,Female,Latino/Hispanic,Support Staff/Technology,1-3 years,Non-Leader,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,,,,,,
13,2018,Female,White,Mathematics/English/Foreign Languages,Over 3 years,Leader,7,7,7,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,6,6,6,,,,,,
14,2018,Female,White,Mathematics/English/Foreign Languages,Less than 1 year,Non-Leader,5,5,5,5,5,6,5,7,6,6,6,5,4,4,5,5,5,4,5,4,5,,,,,,
